date,0 - 9,10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+,Unbekannt
2020-02-24,0,0,0,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,1,0,0,0,0
2020-02-27,0,0,1,0,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0,0,0,0,0
2020-02-29,0,1,0,2,0,0,0,0,0,0
2020-03-01,0,0,1,0,0,0,0,0,0,0
2020-03-02,0,1,1,1,0,0,1,0,0,0
2020-03-03,0,0,1,2,2,0,2,0,1,0
2020-03-04,0,0,0,3,3,7,4,1,2,0
2020-03-05,0,0,1,3,0,3,1,0,0,0
2020-03-06,0,1,0,0,5,2,3,2,1,0
2020-03-07,0,0,0,0,4,1,0,0,0,0
2020-03-08,1,0,1,3,2,5,1,1,0,0
2020-03-09,0,0,0,0,1,4,2,4,2,0
2020-03-10,1,0,3,2,8,4,3,4,3,0
2020-03-11,0,0,6,11,4,5,3,1,2,0
2020-03-12,0,1,3,9,10,6,6,1,4,0
2020-03-13,1,0,6,6,3,5,4,4,2,0
2020-03-14,0,1,8,9,7,11,2,3,3,0
2020-03-15,0,1,4,9,8,6,5,2,2,1
2020-03-16,3,2,14,17,28,24,14,12,12,0
2020-03-17,0,1,21,15,15,29,13,8,10,0
2020-03-18,0,6,17,26,24,24,16,12,10,0
2020-03-19,0,3,12,11,26,19,15,11,8,0
2020-03-20,2,6,18,10,27,34,22,12,9,0
2020-03-21,0,3,12,12,9,19,7,4,9,1
2020-03-22,1,2,9,15,12,18,10,8,10,0
2020-03-23,1,4,22,19,23,36,24,25,12,1
2020-03-24,0,5,13,24,17,33,27,13,17,0
2020-03-25,0,3,16,18,27,24,21,21,13,0
2020-03-26,1,4,12,9,20,29,19,23,18,0
2020-03-27,0,6,23,12,27,42,23,26,22,0
2020-03-28,0,1,9,10,10,11,12,5,15,0
2020-03-29,0,4,7,5,16,8,10,5,8,0
2020-03-30,0,5,11,19,23,34,21,23,29,0
2020-03-31,0,4,16,20,29,24,24,21,28,1
2020-04-01,0,4,16,10,12,30,18,4,21,0
2020-04-02,0,2,13,18,12,21,15,5,15,0
2020-04-03,0,3,21,13,18,29,14,14,26,0
2020-04-04,0,1,13,13,12,5,6,11,30,1
2020-04-05,0,2,12,6,5,7,3,3,11,0
2020-04-06,0,5,27,18,27,29,18,15,19,0
2020-04-07,1,3,20,7,18,24,8,10,23,0
2020-04-08,0,3,15,7,12,17,8,10,28,0
2020-04-09,0,0,5,14,10,15,9,8,22,0
2020-04-10,0,6,9,9,6,8,2,5,13,0
2020-04-11,0,3,5,6,4,13,9,3,20,0
2020-04-12,0,1,2,5,3,13,1,2,6,0
2020-04-13,0,0,6,5,6,5,3,7,21,0
2020-04-14,0,4,10,15,16,15,3,5,10,0
2020-04-15,0,2,12,8,10,14,6,5,14,0
2020-04-16,1,1,11,10,2,9,5,7,14,1
2020-04-17,0,3,5,8,6,4,4,5,15,1
2020-04-18,0,0,2,2,2,4,1,1,6,0
2020-04-19,0,1,5,5,0,2,1,3,4,0
2020-04-20,0,3,16,7,7,14,6,5,6,0
2020-04-21,0,2,6,4,6,10,2,3,4,0
2020-04-22,0,1,6,1,1,6,5,4,4,0
2020-04-23,0,5,7,4,8,4,5,0,1,0
2020-04-24,0,3,4,1,3,4,2,2,3,0
2020-04-25,0,0,1,2,5,2,0,1,2,0
2020-04-26,0,0,2,4,1,2,1,0,2,0
2020-04-27,2,0,5,9,4,6,3,2,5,0
2020-04-28,0,0,5,5,5,5,1,1,6,0
2020-04-29,0,1,5,3,5,8,4,1,4,0
2020-04-30,0,2,3,3,3,3,0,0,12,0
2020-05-01,0,1,12,3,5,1,0,1,3,0
2020-05-02,0,2,2,2,4,2,1,2,0,0
2020-05-03,0,0,1,0,2,0,2,0,1,0
2020-05-04,0,1,3,2,3,3,0,1,1,0
2020-05-05,0,2,2,4,0,4,3,2,0,0
2020-05-06,0,0,2,2,4,2,0,0,7,0
2020-05-07,0,1,2,6,4,2,3,2,1,0
2020-05-08,0,1,3,2,5,6,0,2,4,0
2020-05-09,0,2,4,3,0,1,1,0,4,0
2020-05-10,0,0,1,2,0,0,0,0,3,0
2020-05-11,1,0,1,2,2,5,1,0,0,0
2020-05-12,0,0,1,2,1,3,0,0,1,0
2020-05-13,1,1,0,0,0,2,3,0,0,0
2020-05-14,0,0,0,2,0,1,0,1,3,0
2020-05-15,0,0,1,0,1,1,4,0,0,0
2020-05-16,0,0,1,0,0,0,0,0,0,0
2020-05-17,0,0,0,1,0,1,0,0,0,0
2020-05-18,1,1,1,0,1,2,1,1,1,0
2020-05-19,0,1,2,1,2,0,1,0,1,0
2020-05-20,0,0,2,1,0,1,0,1,0,0
2020-05-21,1,1,2,0,0,1,0,1,0,0
2020-05-22,0,0,0,2,0,1,1,1,0,0
2020-05-23,0,0,1,0,0,0,0,0,0,0
2020-05-24,0,0,1,1,1,0,0,0,0,0
2020-05-25,0,0,0,0,0,1,0,0,0,0
2020-05-26,1,0,2,0,0,0,0,0,0,0
2020-05-27,0,1,2,0,0,0,0,1,0,0
2020-05-28,0,0,2,1,0,1,0,0,2,0
2020-05-29,0,0,0,1,0,1,0,1,0,0
2020-05-30,0,0,0,0,0,0,0,0,1,0
2020-05-31,0,0,0,1,0,1,0,0,0,0
2020-06-01,0,0,0,0,0,0,0,0,0,0
2020-06-02,0,0,0,1,0,2,0,1,2,0
2020-06-03,0,1,2,0,3,0,0,1,1,0
2020-06-04,0,2,1,0,0,1,1,0,0,0
2020-06-05,0,0,1,0,0,0,0,2,0,0
2020-06-06,1,0,1,0,0,0,0,1,0,0
2020-06-07,0,0,1,0,1,0,0,0,0,0
2020-06-08,2,0,1,2,0,1,0,1,0,0
2020-06-09,0,0,0,0,0,1,1,0,0,0
2020-06-10,2,2,1,1,0,1,0,0,0,0
2020-06-11,0,1,1,2,0,1,0,0,0,0
2020-06-12,0,1,1,0,2,2,0,0,0,0
2020-06-13,0,0,0,1,2,1,0,0,0,0
2020-06-14,0,0,0,0,0,0,0,0,0,0
2020-06-15,0,0,3,0,0,2,0,0,0,0
2020-06-16,0,0,0,0,1,0,0,1,0,0
2020-06-17,1,0,1,3,0,0,0,0,0,0
2020-06-18,0,0,0,0,0,0,0,0,0,0
2020-06-19,1,0,1,0,0,0,2,1,1,0
2020-06-20,0,1,4,0,2,1,1,1,0,0
2020-06-21,0,0,3,1,0,1,0,0,1,0
2020-06-22,0,3,2,1,3,1,2,0,0,0
2020-06-23,0,0,1,1,1,1,0,0,1,0
2020-06-24,0,0,2,2,3,1,0,1,0,0
2020-06-25,0,1,1,0,0,1,0,0,0,0
2020-06-26,0,3,3,5,1,2,1,1,1,0
2020-06-27,0,2,3,1,1,0,0,0,0,0
2020-06-28,0,1,1,0,0,1,1,0,0,0
2020-06-29,0,0,9,4,6,2,2,0,0,0
2020-06-30,0,3,5,2,4,3,2,0,0,0
2020-07-01,0,1,10,2,1,2,2,1,0,0
2020-07-02,0,0,3,3,1,3,3,1,0,0
2020-07-03,0,0,7,4,2,5,2,0,2,0
2020-07-04,0,0,2,2,0,0,0,0,0,0
2020-07-05,0,0,3,0,1,0,0,0,0,0
2020-07-06,0,3,4,2,2,1,4,0,0,0
2020-07-07,0,0,2,1,3,4,2,0,0,0
2020-07-08,0,1,4,1,3,1,0,2,0,0
2020-07-09,0,1,5,3,1,6,2,1,0,0
2020-07-10,0,2,7,3,3,2,4,0,0,0
2020-07-11,1,2,2,4,0,0,2,0,0,0
2020-07-12,0,0,2,0,2,1,1,0,0,0
2020-07-13,0,3,5,2,2,7,2,0,0,0
2020-07-14,0,2,7,1,3,4,0,0,0,0
2020-07-15,0,0,4,2,5,2,0,2,0,0
2020-07-16,1,0,7,1,2,1,1,1,2,0
2020-07-17,2,9,2,0,2,6,1,3,0,0
2020-07-18,0,2,4,0,2,0,2,0,1,0
2020-07-19,0,0,1,1,1,1,1,0,0,0
2020-07-20,0,0,4,7,1,1,1,1,0,0
2020-07-21,1,0,2,3,1,2,0,0,0,0
2020-07-22,0,0,2,1,1,0,2,0,0,0
2020-07-23,0,0,3,3,0,1,0,2,0,0
2020-07-24,1,0,6,4,0,3,2,5,0,0
2020-07-25,0,0,3,4,0,0,1,0,0,0
2020-07-26,0,0,2,3,1,1,0,0,0,0
2020-07-27,0,0,4,2,2,2,2,1,1,0
2020-07-28,0,1,4,1,4,3,2,0,0,0
2020-07-29,1,3,4,7,5,1,2,2,2,0
2020-07-30,0,1,11,6,2,4,5,1,0,0
2020-07-31,1,3,6,3,1,7,0,1,1,0
2020-08-01,0,0,2,1,3,3,1,1,0,0
2020-08-02,1,1,3,0,0,2,0,0,0,0
2020-08-03,0,7,8,3,2,7,3,1,0,0
2020-08-04,0,2,4,5,2,5,0,1,0,0
2020-08-05,2,4,3,3,3,2,3,1,0,0
2020-08-06,0,4,5,2,3,2,2,0,0,0
2020-08-07,0,2,5,1,2,0,1,2,1,0
2020-08-08,1,2,5,2,0,0,1,2,0,0
2020-08-09,0,1,6,1,0,3,0,2,0,0
2020-08-10,1,5,9,12,2,4,5,0,1,0
2020-08-11,3,6,20,6,6,4,2,0,0,0
2020-08-12,3,2,18,8,9,9,4,0,0,0
2020-08-13,1,7,13,4,2,5,1,2,0,0
2020-08-14,0,2,19,4,6,3,2,1,0,0
2020-08-15,0,0,3,2,3,2,0,4,0,0
2020-08-16,0,4,3,1,4,2,1,0,0,0
2020-08-17,1,13,17,7,2,3,0,1,0,0
2020-08-18,1,7,8,4,3,6,5,0,0,0
2020-08-19,1,10,20,5,4,4,2,0,0,0
2020-08-20,1,11,39,9,3,1,1,1,0,0
2020-08-21,1,6,25,7,2,4,4,1,0,0
2020-08-22,0,6,15,6,4,2,0,0,0,1
2020-08-23,1,0,15,5,2,2,1,1,0,0
2020-08-24,0,5,25,7,9,5,3,0,0,0
2020-08-25,1,5,16,5,10,6,4,0,0,0
2020-08-26,0,10,14,11,9,6,3,1,0,0
2020-08-27,4,12,19,8,12,4,3,1,1,0
2020-08-28,0,19,18,9,8,6,2,1,2,0
2020-08-29,0,6,7,5,2,0,1,2,4,0
2020-08-30,0,0,9,4,4,3,3,1,1,0
2020-08-31,0,7,17,12,5,6,6,0,1,0
2020-09-01,1,4,14,6,4,6,2,3,8,0
2020-09-02,0,8,27,12,12,9,6,4,18,0
2020-09-03,3,4,17,14,11,11,9,9,10,0
2020-09-04,1,9,13,15,11,11,8,2,3,0
2020-09-05,0,3,14,11,7,8,5,2,3,0
2020-09-06,0,5,7,8,7,7,1,3,0,0
2020-09-07,0,13,27,15,20,13,10,0,1,0
2020-09-08,0,3,19,15,6,14,5,1,6,0
2020-09-09,0,5,31,14,9,12,3,4,3,0
2020-09-10,0,7,28,12,13,15,6,1,4,0
2020-09-11,0,14,23,13,16,12,11,6,6,0
2020-09-12,0,6,13,7,6,9,2,2,1,0
2020-09-13,0,3,15,6,9,5,5,1,0,0
2020-09-14,1,17,28,17,20,13,7,4,5,1
2020-09-15,0,9,22,13,15,14,3,4,0,0
2020-09-16,0,8,21,19,25,15,8,4,1,0
2020-09-17,0,7,22,12,7,13,14,4,1,0
2020-09-18,0,4,17,19,16,30,9,3,3,0
2020-09-19,1,1,10,13,10,7,7,2,0,0
2020-09-20,0,0,0,2,2,1,1,0,0,0
2020-09-21,0,0,0,0,0,0,0,0,0,0
