date,0 - 9,10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+,Unbekannt
2020-02-24,0,0,0,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,1,0,1,0,0,0,0,0
2020-02-27,0,0,0,1,0,1,0,0,0,0
2020-02-28,0,0,1,2,1,0,0,0,0,0
2020-02-29,0,0,0,0,0,0,0,0,0,0
2020-03-01,0,0,0,1,0,1,0,0,0,0
2020-03-02,0,1,0,1,2,0,0,1,1,0
2020-03-03,0,0,0,0,1,0,0,1,0,0
2020-03-04,0,0,0,0,0,2,2,1,0,0
2020-03-05,0,0,0,1,1,2,2,1,0,0
2020-03-06,0,0,6,2,3,3,1,2,0,0
2020-03-07,0,0,0,2,0,4,1,0,0,0
2020-03-08,0,0,1,1,3,5,3,1,3,0
2020-03-09,1,0,1,4,10,6,2,6,3,0
2020-03-10,0,1,5,7,3,4,8,5,5,0
2020-03-11,0,1,8,6,7,12,8,4,3,0
2020-03-12,0,0,10,9,9,14,9,7,12,0
2020-03-13,0,3,9,7,13,8,13,12,6,0
2020-03-14,1,2,11,12,9,26,15,10,9,0
2020-03-15,0,0,7,13,9,13,8,6,5,0
2020-03-16,1,4,13,20,26,37,38,30,17,0
2020-03-17,3,4,19,35,37,36,28,31,23,0
2020-03-18,2,4,24,25,38,45,38,24,21,0
2020-03-19,0,7,15,22,23,35,17,19,14,0
2020-03-20,1,6,15,18,26,46,36,21,17,1
2020-03-21,0,4,17,11,17,38,22,19,16,0
2020-03-22,0,4,12,22,11,21,15,16,12,0
2020-03-23,0,2,22,31,38,74,41,21,26,0
2020-03-24,0,4,19,22,32,56,38,29,27,2
2020-03-25,0,2,20,23,23,23,22,22,33,0
2020-03-26,0,1,15,20,46,48,32,28,21,0
2020-03-27,0,3,16,27,26,60,42,27,28,0
2020-03-28,2,2,7,20,19,40,30,17,26,0
2020-03-29,0,2,12,9,21,18,12,18,16,0
2020-03-30,0,5,22,28,38,38,40,31,36,0
2020-03-31,0,7,17,33,28,59,37,25,25,0
2020-04-01,0,3,27,22,25,65,27,16,28,0
2020-04-02,1,4,15,30,32,47,21,16,20,0
2020-04-03,2,5,17,23,27,31,22,12,18,0
2020-04-04,0,2,14,7,18,19,11,14,10,0
2020-04-05,0,1,8,9,13,10,5,5,5,0
2020-04-06,0,4,26,25,24,30,29,18,18,0
2020-04-07,0,2,18,10,20,23,13,12,11,0
2020-04-08,1,3,13,14,14,16,14,12,20,1
2020-04-09,1,0,15,9,20,11,11,11,17,1
2020-04-10,0,0,7,10,10,12,4,8,9,0
2020-04-11,0,2,7,5,6,7,4,4,11,0
2020-04-12,0,0,5,5,4,3,2,4,6,0
2020-04-13,0,0,5,6,6,6,2,2,12,0
2020-04-14,0,1,9,9,11,6,7,4,12,0
2020-04-15,1,6,16,4,7,13,3,2,7,0
2020-04-16,0,2,8,9,7,10,2,2,3,0
2020-04-17,0,1,6,9,8,3,3,2,9,0
2020-04-18,0,1,2,2,5,8,2,1,3,0
2020-04-19,0,0,1,1,2,2,0,2,3,0
2020-04-20,0,1,9,6,5,4,3,3,7,0
2020-04-21,0,0,3,3,2,6,3,2,8,0
2020-04-22,1,0,3,5,3,3,2,2,4,0
2020-04-23,0,1,1,4,3,9,3,3,9,0
2020-04-24,2,0,6,1,4,2,3,5,2,0
2020-04-25,0,0,0,3,0,2,0,1,3,0
2020-04-26,0,0,0,2,3,1,1,2,0,0
2020-04-27,3,1,0,3,1,6,3,2,2,0
2020-04-28,2,1,3,4,1,4,1,0,4,0
2020-04-29,1,0,2,1,5,0,3,2,2,1
2020-04-30,0,2,2,2,1,1,2,1,2,0
2020-05-01,1,0,6,6,3,3,4,2,0,0
2020-05-02,0,1,3,2,0,0,1,1,0,0
2020-05-03,0,0,0,1,1,1,1,0,0,0
2020-05-04,0,0,1,4,0,2,0,0,1,0
2020-05-05,2,0,3,3,0,2,0,0,1,0
2020-05-06,0,1,1,1,2,2,1,0,0,0
2020-05-07,0,0,1,0,3,1,0,0,0,0
2020-05-08,1,2,0,1,0,3,2,1,0,0
2020-05-09,0,3,0,0,1,2,2,0,0,0
2020-05-10,0,0,0,0,0,0,0,0,0,0
2020-05-11,0,1,1,1,1,1,0,0,0,0
2020-05-12,0,1,1,1,0,1,0,1,1,0
2020-05-13,0,2,1,0,0,1,1,0,0,0
2020-05-14,2,0,1,1,1,2,0,0,2,0
2020-05-15,1,2,2,2,1,1,1,0,1,0
2020-05-16,0,1,1,0,0,0,0,0,0,0
2020-05-17,0,0,0,0,0,1,0,0,0,0
2020-05-18,0,0,1,2,0,0,0,0,1,0
2020-05-19,0,2,1,0,0,3,0,0,0,0
2020-05-20,0,0,1,0,1,1,1,0,1,0
2020-05-21,0,0,0,0,0,0,1,0,0,0
2020-05-22,0,0,2,1,0,0,0,0,0,0
2020-05-23,0,0,0,0,1,0,1,0,0,0
2020-05-24,0,0,0,0,0,0,1,0,1,0
2020-05-25,0,0,0,0,0,1,0,0,0,0
2020-05-26,0,1,3,0,0,1,0,1,0,0
2020-05-27,0,0,1,0,3,1,0,0,0,0
2020-05-28,0,0,1,0,1,0,0,1,0,0
2020-05-29,1,0,0,0,0,0,1,0,0,0
2020-05-30,0,0,0,0,0,2,0,0,0,0
2020-05-31,0,0,0,0,0,0,0,0,0,0
2020-06-01,0,0,0,0,0,0,1,0,0,0
2020-06-02,0,1,1,0,1,0,2,0,0,0
2020-06-03,0,0,1,0,0,0,0,0,0,0
2020-06-04,0,0,1,1,0,0,0,0,1,0
2020-06-05,0,0,1,2,0,0,0,1,0,0
2020-06-06,0,1,0,1,0,0,1,0,0,0
2020-06-07,0,0,0,0,0,0,0,0,0,0
2020-06-08,0,0,0,1,0,1,1,0,0,0
2020-06-09,0,1,0,1,0,0,0,1,0,0
2020-06-10,0,0,1,0,1,0,1,0,0,0
2020-06-11,1,1,1,3,1,1,0,0,0,0
2020-06-12,1,0,0,1,0,1,2,0,0,0
2020-06-13,0,0,0,0,0,0,0,0,0,0
2020-06-14,0,0,0,0,0,0,0,0,0,0
2020-06-15,0,0,1,1,0,1,0,0,1,0
2020-06-16,0,0,0,2,0,0,1,1,1,0
2020-06-17,0,0,0,0,1,0,0,1,0,0
2020-06-18,0,1,0,0,0,0,0,0,0,0
2020-06-19,0,1,3,0,2,2,1,0,0,0
2020-06-20,1,0,2,1,0,1,1,0,1,0
2020-06-21,0,1,1,0,0,0,1,0,0,0
2020-06-22,1,0,6,1,2,2,0,0,0,0
2020-06-23,0,2,2,2,0,2,0,1,0,0
2020-06-24,0,1,2,2,3,2,0,0,0,0
2020-06-25,0,0,0,3,2,1,0,0,0,0
2020-06-26,0,0,1,0,4,3,1,0,0,0
2020-06-27,0,0,1,1,0,1,0,0,1,0
2020-06-28,0,0,0,0,0,3,0,1,0,0
2020-06-29,0,1,11,1,0,2,0,1,0,0
2020-06-30,0,0,2,2,3,0,1,0,0,0
2020-07-01,0,1,0,3,1,0,1,0,0,0
2020-07-02,0,5,6,2,2,4,2,0,0,0
2020-07-03,0,1,4,3,0,0,0,0,0,0
2020-07-04,0,0,3,1,1,0,0,0,1,0
2020-07-05,0,0,1,1,5,1,1,0,0,0
2020-07-06,0,1,6,2,4,4,1,0,0,0
2020-07-07,0,2,2,4,3,2,3,0,0,0
2020-07-08,0,0,1,6,0,3,0,1,0,0
2020-07-09,0,0,1,3,3,2,3,0,0,0
2020-07-10,0,2,2,6,2,1,1,0,0,0
2020-07-11,0,1,2,1,0,1,1,0,0,0
2020-07-12,0,0,0,1,2,4,1,0,0,0
2020-07-13,0,0,2,5,4,1,2,0,0,0
2020-07-14,0,2,3,7,3,0,2,0,1,0
2020-07-15,0,1,9,8,4,1,3,1,1,0
2020-07-16,0,0,4,6,1,3,2,2,0,0
2020-07-17,1,0,1,3,3,1,2,0,0,0
2020-07-18,0,1,4,2,2,1,3,0,0,0
2020-07-19,0,1,1,3,0,1,1,0,0,0
2020-07-20,0,0,4,4,2,2,1,0,0,0
2020-07-21,1,2,3,4,4,3,2,0,0,0
2020-07-22,0,0,7,4,5,1,2,0,1,0
2020-07-23,0,1,16,13,2,2,2,0,0,0
2020-07-24,0,2,9,8,0,4,1,2,1,0
2020-07-25,0,2,10,7,2,1,2,1,0,0
2020-07-26,0,1,8,6,3,1,1,0,0,0
2020-07-27,0,3,11,8,6,4,2,0,0,0
2020-07-28,1,2,21,16,8,1,1,0,0,0
2020-07-29,0,3,23,7,8,5,4,1,2,0
2020-07-30,1,4,14,8,2,8,3,1,0,0
2020-07-31,0,3,13,8,5,2,1,1,0,0
2020-08-01,0,3,11,4,4,5,1,1,0,0
2020-08-02,0,5,3,2,6,6,3,0,1,0
2020-08-03,0,2,5,9,3,1,2,0,2,0
2020-08-04,0,6,10,11,3,5,0,0,0,0
2020-08-05,1,6,10,5,2,3,1,0,0,0
2020-08-06,0,4,10,7,5,3,2,0,0,0
2020-08-07,1,6,13,6,6,3,0,0,1,0
2020-08-08,0,3,12,4,8,1,1,0,0,0
2020-08-09,0,2,8,4,0,1,0,0,0,0
2020-08-10,0,5,19,5,1,3,4,1,0,0
2020-08-11,1,4,14,10,4,5,2,1,0,0
2020-08-12,1,4,15,8,4,3,0,0,2,0
2020-08-13,0,4,19,10,6,3,3,0,0,0
2020-08-14,0,1,15,6,3,6,0,1,0,0
2020-08-15,0,1,9,6,4,6,1,2,2,0
2020-08-16,0,2,5,2,3,3,3,0,0,0
2020-08-17,0,3,10,13,7,5,4,2,0,0
2020-08-18,0,4,19,13,9,3,2,2,2,0
2020-08-19,1,4,20,10,9,2,5,2,0,0
2020-08-20,0,9,30,16,10,4,5,0,2,0
2020-08-21,0,8,18,9,4,5,1,0,1,0
2020-08-22,1,5,17,7,5,3,1,1,1,0
2020-08-23,0,3,4,6,5,2,2,0,0,0
2020-08-24,0,6,25,20,6,4,2,2,1,0
2020-08-25,0,9,34,13,6,3,5,1,1,0
2020-08-26,0,11,23,11,5,7,5,1,3,0
2020-08-27,1,11,23,26,9,7,4,1,1,0
2020-08-28,1,9,25,13,6,5,2,2,0,0
2020-08-29,2,1,20,17,13,4,2,0,0,0
2020-08-30,2,3,16,10,5,6,0,0,0,0
2020-08-31,3,6,28,24,13,7,3,0,1,0
2020-09-01,6,11,24,19,7,10,3,1,0,0
2020-09-02,1,6,30,19,16,9,2,0,0,0
2020-09-03,4,14,30,18,17,12,5,1,1,0
2020-09-04,1,16,33,24,7,11,7,0,1,0
2020-09-05,0,6,25,12,13,10,4,1,1,0
2020-09-06,1,4,7,9,8,8,2,1,2,0
2020-09-07,3,14,23,10,14,15,8,3,8,0
2020-09-08,1,8,26,19,15,8,2,2,0,0
2020-09-09,1,12,29,18,15,15,7,3,3,0
2020-09-10,1,15,35,22,20,9,7,3,7,0
2020-09-11,0,11,33,28,21,15,9,5,2,0
2020-09-12,0,4,15,17,7,6,7,3,2,0
2020-09-13,0,9,8,20,19,10,4,0,1,0
2020-09-14,1,12,17,34,16,14,9,6,4,0
2020-09-15,0,18,24,32,22,13,6,3,2,0
2020-09-16,0,20,30,23,19,22,2,6,1,0
2020-09-17,0,17,35,20,22,10,12,3,1,0
2020-09-18,2,12,28,20,18,10,5,4,2,0
2020-09-19,0,9,13,14,7,10,6,0,1,0
2020-09-20,0,2,17,14,6,10,5,2,0,0
2020-09-21,0,8,17,18,20,14,9,2,1,0
2020-09-22,1,8,31,26,18,15,9,2,2,0
2020-09-23,0,16,20,20,12,17,4,2,2,0
2020-09-24,0,5,21,17,11,11,6,1,2,0
2020-09-25,1,6,14,14,13,7,3,3,2,0
2020-09-26,0,1,13,10,8,8,3,1,1,0
2020-09-27,0,1,8,6,3,4,1,1,1,0
2020-09-28,1,9,14,19,11,8,8,3,1,0
2020-09-29,1,6,17,20,7,14,6,3,6,1
2020-09-30,0,6,22,18,9,10,8,4,1,0
2020-10-01,0,5,37,23,18,16,6,1,3,0
2020-10-02,1,5,33,27,11,8,8,4,6,1
2020-10-03,2,8,22,24,14,11,5,3,1,0
2020-10-04,2,9,13,20,14,9,5,4,1,0
2020-10-05,3,12,28,37,32,20,13,10,4,0
2020-10-06,1,16,40,37,40,29,18,6,5,0
2020-10-07,0,18,48,49,45,31,25,9,7,0
2020-10-08,1,15,64,42,40,43,15,12,6,0
2020-10-09,4,23,56,62,41,46,16,13,11,0
2020-10-10,1,16,35,43,36,40,15,11,8,0
2020-10-11,0,11,34,26,30,40,12,6,3,0
2020-10-12,2,34,49,73,69,64,27,24,12,0
2020-10-13,4,40,65,77,87,63,35,30,19,0
2020-10-14,1,38,86,88,81,66,37,30,9,0
2020-10-15,1,13,48,54,57,57,18,15,10,0
2020-10-16,0,0,0,0,0,0,0,0,0,0
