date,0 - 9,10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+,Unbekannt
2020-02-24,0,0,0,0,0,0,0,1,0,0
2020-02-25,0,0,1,0,0,0,0,0,0,0
2020-02-26,2,0,3,1,2,1,1,0,0,0
2020-02-27,0,0,2,3,0,3,0,2,0,0
2020-02-28,0,0,4,3,2,1,0,0,0,0
2020-02-29,0,1,3,5,2,1,1,0,0,0
2020-03-01,0,0,2,3,1,2,2,0,1,0
2020-03-02,0,2,10,5,4,4,2,3,1,0
2020-03-03,0,3,4,6,7,4,5,2,2,0
2020-03-04,1,1,4,13,8,15,10,4,5,0
2020-03-05,1,1,3,12,10,19,9,4,3,0
2020-03-06,1,2,12,10,15,13,10,8,2,0
2020-03-07,0,0,5,5,16,12,2,4,5,0
2020-03-08,1,0,6,8,15,17,9,7,6,0
2020-03-09,1,3,14,33,36,32,23,33,17,0
2020-03-10,2,6,23,35,38,42,31,23,12,0
2020-03-11,1,6,53,56,50,76,37,35,20,0
2020-03-12,3,5,46,58,68,71,43,26,37,0
2020-03-13,2,12,49,64,79,77,58,56,35,1
2020-03-14,3,12,56,55,72,92,41,49,40,0
2020-03-15,1,1,27,60,50,69,47,36,35,2
2020-03-16,5,22,116,136,180,251,149,117,86,2
2020-03-17,7,30,120,173,185,224,153,95,100,1
2020-03-18,4,46,155,172,201,248,168,112,105,3
2020-03-19,2,23,101,117,134,185,109,77,85,3
2020-03-20,5,38,127,156,173,275,158,119,94,2
2020-03-21,2,22,74,87,97,160,95,77,71,8
2020-03-22,1,14,62,85,77,104,74,69,61,0
2020-03-23,2,40,162,203,236,334,209,144,132,2
2020-03-24,3,28,133,156,192,272,177,122,158,3
2020-03-25,2,24,130,151,162,200,151,105,145,2
2020-03-26,2,24,119,125,191,239,148,128,141,1
2020-03-27,2,32,130,151,181,301,186,157,168,0
2020-03-28,4,12,65,92,103,144,98,73,131,1
2020-03-29,1,14,46,46,79,74,52,59,62,0
2020-03-30,3,32,159,161,193,282,151,132,196,1
2020-03-31,6,35,116,127,191,237,149,111,162,3
2020-04-01,1,25,127,112,159,236,123,80,151,2
2020-04-02,2,21,105,136,141,195,100,65,113,0
2020-04-03,7,27,120,112,150,186,92,75,159,0
2020-04-04,3,12,66,59,78,79,41,57,90,1
2020-04-05,1,5,50,34,41,54,20,21,55,0
2020-04-06,5,25,138,124,140,181,105,84,121,2
2020-04-07,2,17,108,97,117,137,73,61,103,0
2020-04-08,2,22,104,80,89,102,57,53,103,1
2020-04-09,2,15,67,63,85,90,58,53,125,1
2020-04-10,4,12,45,38,47,47,24,32,60,0
2020-04-11,0,7,26,23,43,44,27,23,69,0
2020-04-12,2,4,22,28,25,47,22,19,50,0
2020-04-13,1,5,43,33,30,35,19,22,57,0
2020-04-14,2,14,53,52,74,76,44,29,81,0
2020-04-15,1,18,61,45,44,48,29,18,64,0
2020-04-16,2,11,56,58,39,45,20,24,64,2
2020-04-17,1,11,44,51,42,46,19,18,58,1
2020-04-18,0,5,19,15,20,26,12,7,40,0
2020-04-19,2,3,10,19,7,19,2,8,16,0
2020-04-20,2,9,45,37,42,50,22,16,54,0
2020-04-21,0,7,40,32,37,36,13,13,35,0
2020-04-22,1,4,28,17,17,26,23,16,24,2
2020-04-23,0,8,35,30,28,45,17,11,34,0
2020-04-24,3,10,29,27,22,27,14,11,24,0
2020-04-25,1,2,12,18,11,18,5,5,15,0
2020-04-26,1,5,12,11,8,9,5,5,5,0
2020-04-27,7,4,23,33,28,33,12,4,29,0
2020-04-28,4,4,24,25,22,28,14,4,28,0
2020-04-29,2,2,22,13,18,23,12,11,16,1
2020-04-30,2,8,14,13,11,18,6,4,25,0
2020-05-01,1,4,22,11,14,10,10,4,7,0
2020-05-02,3,3,10,8,8,6,5,3,1,0
2020-05-03,0,0,7,4,3,2,4,0,2,0
2020-05-04,2,1,18,16,17,16,7,6,7,0
2020-05-05,3,7,11,12,10,14,5,8,3,0
2020-05-06,4,2,14,14,13,12,4,3,13,0
2020-05-07,1,1,7,9,10,7,3,4,4,0
2020-05-08,2,6,5,4,9,10,7,4,12,0
2020-05-09,1,5,5,5,5,5,6,0,7,0
2020-05-10,0,2,2,4,0,3,1,0,3,0
2020-05-11,2,4,5,7,6,10,7,2,3,0
2020-05-12,1,6,6,6,6,9,2,2,4,0
2020-05-13,2,7,4,5,3,5,7,2,2,0
2020-05-14,2,3,3,5,5,8,1,4,6,0
2020-05-15,1,3,5,5,8,6,7,4,2,0
2020-05-16,0,1,3,1,3,2,0,2,3,0
2020-05-17,0,0,2,2,1,4,2,0,1,0
2020-05-18,2,2,8,3,4,5,4,2,4,0
2020-05-19,1,4,6,1,8,9,3,1,3,0
2020-05-20,0,2,7,2,4,5,2,3,4,0
2020-05-21,1,1,2,0,1,3,2,1,0,0
2020-05-22,1,0,3,5,3,3,1,3,0,0
2020-05-23,0,1,2,2,1,1,2,1,4,0
2020-05-24,1,0,4,2,1,0,1,0,1,0
2020-05-25,0,1,2,2,4,3,1,0,2,0
2020-05-26,2,2,5,1,1,6,0,1,0,0
2020-05-27,4,4,5,2,6,1,2,1,0,0
2020-05-28,0,6,7,7,3,4,0,1,2,0
2020-05-29,1,1,5,5,3,2,2,2,0,0
2020-05-30,0,1,1,1,3,3,0,0,1,0
2020-05-31,0,0,0,1,2,4,0,0,0,0
